state_abbreviation,state_name,report_date,state_expanded_medicaid,preliminary_updated,final_report,new_applications_submitted_to_medicaid_and_chip_agencies,new_applications_submitted_to_medicaid_and_chip_agencies__f_85d7,applications_for_financial_assistance_submitted_to_the_stat_104d,applications_for_financial_assistance_submitted_to_the_stat_c640,total_applications_for_financial_assistance_submitted_at_st_d6fa,total_applications_for_financial_assistance_submitted_at_st_9919,individuals_determined_eligible_for_medicaid_at_application,individuals_determined_eligible_for_medicaid_at_application_4f96,individuals_determined_eligible_for_chip_at_application,individuals_determined_eligible_for_chip_at_application__fo_e28a,total_medicaid_and_chip_determinations,total_medicaid_and_chip_determinations__footnotes,medicaid_and_chip_child_enrollment,medicaid_and_chip_child_enrollment__footnotes,total_medicaid_and_chip_enrollment,total_medicaid_and_chip_enrollment__footnotes,total_medicaid_enrollment,total_medicaid_enrollment__footnotes,total_chip_enrollment,total_chip_enrollment__footnotes
AL,Alabama,2017-12-01,N,P,N,16429,,,,16429,,23207,,2701,,25908,,635498,,894106,,721254,,172852,
AL,Alabama,2017-12-01,N,U,Y,16429,,,,16429,,23207,,2701,,25908,,635498,,894106,,721254,,172852,
AL,Alabama,2018-01-01,N,P,N,19650,,,,19650,,28689,,3182,,31871,,636831,,895960,,723460,,172500,
AL,Alabama,2018-01-01,N,U,Y,19650,,,,19650,,28689,,3182,,31871,,636831,,895960,,723460,,172500,
AL,Alabama,2018-02-01,N,P,N,18090,,,,18090,,27859,,2716,,30575,,640136,,898872,,722951,,175921,
AL,Alabama,2018-02-01,N,U,Y,18090,,,,18090,,27859,,2716,,30575,,640136,,898872,,722951,,175921,
AL,Alabama,2018-03-01,N,P,N,19632,,,,19632,,30340,,2623,,32963,,643948,,903458,,725440,,178018,
AL,Alabama,2018-03-01,N,U,Y,19632,,,,19632,,30340,,2623,,32963,,643948,,903458,,725440,,178018,
AL,Alabama,2018-04-01,N,U,Y,18348,,,,18348,,27178,,2438,,29616,,644899,,904927,,726911,,178016,
AL,Alabama,2018-04-01,N,P,N,18348,,,,18348,,27178,,2438,,29616,,644899,,904927,,726911,,178016,
AL,Alabama,2018-05-01,N,P,N,19326,,,,19326,,28625,,2577,,31202,,636042,,896225,,724919,,171306,
AL,Alabama,2018-05-01,N,U,Y,19326,,,,19326,,28625,,2577,,31202,,636042,,896225,,724919,,171306,
AL,Alabama,2018-06-01,N,U,Y,16859,,,,16859,,24244,,2443,,26687,,635099,,895756,,724920,,170836,
AL,Alabama,2018-06-01,N,P,N,16859,,,,16859,,24244,,2443,,26687,,635099,,895756,,724920,,170836,
AL,Alabama,2018-07-01,N,U,Y,20490,,,,20490,,28274,,3002,,31276,,636789,,898978,,728206,,170772,
AL,Alabama,2018-07-01,N,P,N,20490,,,,20490,,28274,,3002,,31276,,636789,,898978,,728206,,170772,
AL,Alabama,2018-08-01,N,P,N,22186,,,,22186,,31296,,3289,,34585,,639334,,901806,,730793,,171013,
AL,Alabama,2018-08-01,N,U,Y,22186,,,,22186,,31296,,3289,,34585,,639334,,901806,,730793,,171013,
AL,Alabama,2018-09-01,N,P,N,19871,,,,19871,,25818,,2964,,28782,,642309,,904670,,733114,,171556,
AL,Alabama,2018-09-01,N,U,Y,19871,,,,19871,,25818,,2964,,28782,,642309,,904670,,733114,,171556,
AL,Alabama,2018-10-01,N,P,N,22130,,,,22130,,16776,,2307,,19083,,647423,,910539,,737538,,173001,
AL,Alabama,2018-10-01,N,U,Y,22130,,,,22130,,16776,,2307,,19083,,647423,,910539,,737538,,173001,
AL,Alabama,2018-11-01,N,U,Y,18671,,,,18671,,13468,,1994,,15462,,645907,,908877,,735982,,172895,
AL,Alabama,2018-11-01,N,P,N,18671,,,,18671,,13468,,1994,,15462,,645907,,908877,,735982,,172895,
AL,Alabama,2018-12-01,N,P,N,16919,,,,16919,,12219,,1584,,13803,,643985,,906216,,733547,,172669,
AL,Alabama,2018-12-01,N,U,Y,16919,,,,16919,,12219,,1584,,13803,,643985,,906216,,733547,,172669,
AL,Alabama,2019-01-01,N,P,N,20505,,,,20505,,14957,,2510,,17467,,646832,,910087,,736866,,173221,
AL,Alabama,2019-01-01,N,U,Y,20505,,,,20505,,14957,,2510,,17467,,646832,,910087,,736866,,173221,
AL,Alabama,2019-02-01,N,P,N,18173,,,,18173,,14284,,2069,,16353,,649363,,912951,,739062,,173889,
AL,Alabama,2019-02-01,N,U,Y,18173,,,,18173,,14284,,2069,,16353,,649363,,912951,,739062,,173889,
AL,Alabama,2019-03-01,N,U,Y,18688,,,,18688,,15347,,1967,,17314,,648513,,912015,,738636,,173379,
AL,Alabama,2019-03-01,N,P,N,18688,,,,18688,,15347,,1967,,17314,,648513,,912015,,738636,,173379,
AL,Alabama,2019-04-01,N,P,N,15057,,,,15057,,14461,,1768,,16229,,644765,,909189,,736569,,172620,
AL,Alabama,2019-04-01,N,U,Y,15057,,,,15057,,14461,,1768,,16229,,644765,,909189,,736569,,172620,
AL,Alabama,2019-05-01,N,P,N,12966,,,,12966,,13388,,1542,,14930,,644147,,908668,,738228,,170440,
AL,Alabama,2019-05-01,N,U,Y,12966,,,,12966,,13388,,1542,,14930,,644147,,908668,,738228,,170440,
AL,Alabama,2019-06-01,N,P,N,12752,,,,12752,,13684,,1679,,15363,,647703,,911855,,739129,,172726,
AL,Alabama,2019-06-01,N,U,Y,12752,,,,12752,,13684,,1679,,15363,,647703,,911855,,739129,,172726,
AL,Alabama,2019-07-01,N,P,N,13994,,,,13994,,15219,,1966,,17185,,651212,,915545,,742180,,173365,
AL,Alabama,2019-07-01,N,U,Y,13994,,,,13994,,15219,,1966,,17185,,651212,,915545,,742180,,173365,
AL,Alabama,2019-08-01,N,P,N,14285,,,,14285,,15599,,2133,,17732,,653861,,918316,,744927,,173389,
AL,Alabama,2019-08-01,N,U,Y,14285,,,,14285,,15599,,2133,,17732,,653861,,918316,,744927,,173389,
AL,Alabama,2019-09-01,N,P,N,13058,,,,13058,,13775,,1861,,15636,,655164,,919209,,746462,,172747,
AL,Alabama,2019-09-01,N,U,Y,13058,,,,13058,,13775,,1861,,15636,,655164,,919209,,746462,,172747,
AL,Alabama,2019-10-01,N,P,N,13367,,,,13367,,13653,,1607,,15260,,657121,,920853,,748146,,172707,
AL,Alabama,2019-10-01,N,U,Y,13367,,,,13367,,13653,,1607,,15260,,657121,,920853,,748146,,172707,
AL,Alabama,2019-11-01,N,P,N,11536,,,,11536,,11792,,1610,,13402,,658526,,921376,,748187,,173189,
AL,Alabama,2019-11-01,N,U,Y,11536,,,,11536,,11792,,1610,,13402,,658526,,921376,,748187,,173189,
AL,Alabama,2019-12-01,N,U,Y,12103,,,,12103,,12072,,1289,,13361,,658585,,921100,,747737,,173363,
AL,Alabama,2019-12-01,N,P,N,12103,,,,12103,,12072,,1289,,13361,,658585,,921100,,747737,,173363,
AL,Alabama,2020-01-01,N,U,Y,14342,,,,14342,,14602,,2006,,16608,,659696,,922592,,750907,,171685,
AL,Alabama,2020-01-01,N,P,N,14342,,,,14342,,14602,,2006,,16608,,659696,,922592,,750907,,171685,
AL,Alabama,2020-02-01,N,U,Y,12237,,,,12237,,13411,,1609,,15020,,660859,,923320,,751906,,171414,
AL,Alabama,2020-02-01,N,P,N,12237,,,,12237,,13411,,1609,,15020,,660859,,923320,,751906,,171414,
AL,Alabama,2020-03-01,N,U,Y,12456,,,,12456,,13302,,1530,,14832,,660575,,922989,,751960,,171029,
AL,Alabama,2020-03-01,N,P,N,12456,,,,12456,,13302,,1530,,14832,,660575,,922989,,751960,,171029,
AL,Alabama,2020-04-01,N,U,Y,8280,,,,8280,,9387,,940,,10327,,666508,,933842,,760612,,173230,
AL,Alabama,2020-04-01,N,P,N,8280,,,,8280,,9387,,940,,10327,,666508,,933842,,760612,,173230,
AL,Alabama,2020-05-01,N,P,N,8167,,,,8167,,9481,,1134,,10615,,669804,,937960,,763541,,174419,
AL,Alabama,2020-05-01,N,U,Y,8167,,,,8167,,9481,,1134,,10615,,671742,,943545,,768662,,174883,
AL,Alabama,2020-06-01,N,P,N,9334,,,,9334,,10274,,1372,,11646,,673596,,947688,,772812,,174876,
AL,Alabama,2020-06-01,N,U,Y,9334,,,,9334,,10274,,1372,,11646,,675900,,951984,,776672,,175312,
AL,Alabama,2020-07-01,N,P,N,8349,,,,8349,,9250,,1210,,10460,,676843,,955648,,781718,,173930,
AL,Alabama,2020-07-01,N,U,Y,8349,,,,8349,,9250,,1210,,10460,,679136,,959675,,785165,,174510,
AL,Alabama,2020-08-01,N,P,N,8675,,,,8675,,9875,,1372,,11247,,679914,,962482,,789430,,173052,
AL,Alabama,2020-08-01,N,U,Y,8675,,,,8675,,9875,,1372,,11247,,682839,,967364,,793459,,173905,
AL,Alabama,2020-09-01,N,U,Y,9291,,,,9291,,10266,,1591,,11857,,687971,,976361,,801777,,174584,
AL,Alabama,2020-09-01,N,P,N,9291,,,,9291,,10266,,1591,,11857,,686046,,973138,,799119,,174019,
AL,Alabama,2020-10-01,N,P,N,8459,,,,8459,,10667,,1493,,12160,,690466,,981613,,807081,,174532,
AL,Alabama,2020-10-01,N,U,Y,8459,,,,8459,,10667,,1493,,12160,,692395,,985152,,810126,,175026,
AL,Alabama,2020-11-01,N,P,N,7250,,,,7250,,8763,,1207,,9970,,694429,,989743,,815204,,174539,
AL,Alabama,2020-11-01,N,U,Y,7250,,,,7250,,8763,,1207,,9970,,696166,,993609,,818260,,175349,
AL,Alabama,2020-12-01,N,U,Y,7202,,,,7202,,9131,,1123,,10254,,699862,,1001444,,825718,,175726,
AL,Alabama,2020-12-01,N,P,N,7202,,,,7202,,9131,,1123,,10254,,698284,,997500,,822357,,175143,
AL,Alabama,2021-01-01,N,U,Y,7660,,,,7660,,9424,,1599,,11023,,703633,,1009033,,832389,,176644,
AL,Alabama,2021-01-01,N,P,N,7660,,,,7660,,9424,,1599,,11023,,701919,,1004820,,828941,,175879,
AL,Alabama,2021-02-01,N,P,N,6914,,,,6914,,8854,,1241,,10095,,705790,,1012825,,836057,,176768,
AL,Alabama,2021-02-01,N,U,Y,6914,,,,6914,,8854,,1241,,10095,,707174,,1015804,,838420,,177384,
AL,Alabama,2021-03-01,N,U,Y,7710,,,,7710,,9336,,1407,,10743,,710710,,1023300,,844790,,178510,
AL,Alabama,2021-03-01,N,P,N,7710,,,,7710,,9336,,1407,,10743,,709853,,1021302,,843285,,178017,
AL,Alabama,2021-04-01,N,P,N,7197,,,,7197,,8740,,1247,,9987,,713831,,1029087,,849548,,179539,
AL,Alabama,2021-04-01,N,U,Y,7197,,,,7197,,8740,,1247,,9987,,714890,,1031694,,851706,,179988,
AL,Alabama,2021-05-01,N,P,Y,6826,,,,6826,,9642,,2958,,12600,,717102,,1034994,,854004,,180990,
AK,Alaska,2013-09-01,Y,U,Y,,,,,,,,,,,,,,,122334,,,,,
AK,Alaska,2017-06-01,Y,P,N,3017,"Includes Renewals and/or Redeterminations",,,3017,"Includes Renewals and/or Redeterminations",3422,"Includes Renewals and/or Redeterminations; Includes CHIP",,,3422,"Includes Renewals and/or Redeterminations",88766,,191171,,179001,,12170,
AK,Alaska,2017-06-01,Y,U,Y,3069,"Includes Renewals and/or Redeterminations",,,3069,"Includes Renewals and/or Redeterminations",3422,"Includes Renewals and/or Redeterminations; Includes CHIP",,,3422,"Includes Renewals and/or Redeterminations",90081,,194534,,182080,,12454,
AK,Alaska,2017-07-01,Y,U,Y,3265,"Includes Renewals and/or Redeterminations",,,3265,"Includes Renewals and/or Redeterminations",3159,"Includes Renewals and/or Redeterminations; Includes CHIP",,,3159,"Includes Renewals and/or Redeterminations",90562,,196121,,183516,,12605,
AK,Alaska,2017-07-01,Y,P,N,3187,"Includes Renewals and/or Redeterminations",,,3187,"Includes Renewals and/or Redeterminations",3159,"Includes Renewals and/or Redeterminations; Includes CHIP",,,3159,"Includes Renewals and/or Redeterminations",89358,,193019,,180641,,12378,
AK,Alaska,2017-08-01,Y,P,N,3911,"Includes Renewals and/or Redeterminations",,,3911,"Includes Renewals and/or Redeterminations",3187,"Includes Renewals and/or Redeterminations; Includes CHIP",,,3187,"Includes Renewals and/or Redeterminations",90085,,194909,,182349,,12560,
AK,Alaska,2017-08-01,Y,U,Y,3967,"Includes Renewals and/or Redeterminations",,,3967,"Includes Renewals and/or Redeterminations",3187,"Includes Renewals and/or Redeterminations; Includes CHIP",,,3187,"Includes Renewals and/or Redeterminations",91294,,197834,,185071,,12763,
AK,Alaska,2017-09-01,Y,U,Y,3553,"Includes Renewals and/or Redeterminations",,,3553,"Includes Renewals and/or Redeterminations",2664,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2664,"Includes Renewals and/or Redeterminations",91550,,198742,,185974,,12768,
AK,Alaska,2017-09-01,Y,P,N,3492,"Includes Renewals and/or Redeterminations",,,3492,"Includes Renewals and/or Redeterminations",2664,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2664,"Includes Renewals and/or Redeterminations",90439,,195913,,183311,,12602,
AK,Alaska,2017-10-01,Y,U,Y,3574,"Includes Renewals and/or Redeterminations",,,3574,"Includes Renewals and/or Redeterminations",2961,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2961,"Includes Renewals and/or Redeterminations",92122,,200627,,187664,,12963,
AK,Alaska,2017-10-01,Y,P,N,3497,"Includes Renewals and/or Redeterminations",,,3497,"Includes Renewals and/or Redeterminations",2961,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2961,"Includes Renewals and/or Redeterminations",90933,,197433,,184678,,12755,
AK,Alaska,2017-11-01,Y,P,N,4320,"Includes Renewals and/or Redeterminations",,,4320,"Includes Renewals and/or Redeterminations",3337,"Includes Renewals and/or Redeterminations; Includes CHIP",,,3337,"Includes Renewals and/or Redeterminations",91254,,198880,,186078,,12802,
AK,Alaska,2017-11-01,Y,U,Y,4320,"Includes Renewals and/or Redeterminations",,,4320,"Includes Renewals and/or Redeterminations",3337,"Includes Renewals and/or Redeterminations; Includes CHIP",,,3337,"Includes Renewals and/or Redeterminations",92203,,201672,,188630,,13042,
AK,Alaska,2017-12-01,Y,U,Y,3446,"Includes Renewals and/or Redeterminations",,,3446,"Includes Renewals and/or Redeterminations",3825,"Includes Renewals and/or Redeterminations; Includes CHIP",,,3825,"Includes Renewals and/or Redeterminations",91360,,200369,,187450,,12919,
AK,Alaska,2017-12-01,Y,P,N,3854,"Includes Renewals and/or Redeterminations",,,3854,"Includes Renewals and/or Redeterminations",3825,"Includes Renewals and/or Redeterminations; Includes CHIP",,,3825,"Includes Renewals and/or Redeterminations",91516,,200185,,187272,,12913,
AK,Alaska,2018-01-01,Y,U,Y,3735,"Includes Renewals and/or Redeterminations",,,3735,"Includes Renewals and/or Redeterminations",2838,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2838,"Includes Renewals and/or Redeterminations",92495,,203654,,190513,,13141,
AK,Alaska,2018-01-01,Y,P,N,3735,"Includes Renewals and/or Redeterminations",,,3735,"Includes Renewals and/or Redeterminations",2838,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2838,"Includes Renewals and/or Redeterminations",92260,,202912,,189696,,13216,
AK,Alaska,2018-02-01,Y,P,N,3052,"Includes Renewals and/or Redeterminations",,,3052,"Includes Renewals and/or Redeterminations",2334,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2334,"Includes Renewals and/or Redeterminations",92415,,203672,,190509,,13163,
AK,Alaska,2018-02-01,Y,U,Y,3052,"Includes Renewals and/or Redeterminations",,,3052,"Includes Renewals and/or Redeterminations",2334,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2334,"Includes Renewals and/or Redeterminations",92649,,204311,,191133,,13178,
AK,Alaska,2018-03-01,Y,U,Y,3373,"Includes Renewals and/or Redeterminations",,,3373,"Includes Renewals and/or Redeterminations",2584,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2584,"Includes Renewals and/or Redeterminations",93203,,205761,,192481,,13280,
AK,Alaska,2018-03-01,Y,P,N,3373,"Includes Renewals and/or Redeterminations",,,3373,"Includes Renewals and/or Redeterminations",2584,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2584,"Includes Renewals and/or Redeterminations",93019,,205234,,191959,,13275,
AK,Alaska,2018-04-01,Y,P,N,3046,"Includes Renewals and/or Redeterminations",,,3046,"Includes Renewals and/or Redeterminations",2315,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2315,"Includes Renewals and/or Redeterminations",93511,,206808,,193515,,13293,
AK,Alaska,2018-04-01,Y,U,Y,3352,"Includes Renewals and/or Redeterminations",,,3352,"Includes Renewals and/or Redeterminations",2315,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2315,"Includes Renewals and/or Redeterminations",93680,,207337,,194039,,13298,
AK,Alaska,2018-05-01,Y,U,Y,3549,"Includes Renewals and/or Redeterminations",,,3549,"Includes Renewals and/or Redeterminations",2312,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2312,"Includes Renewals and/or Redeterminations",93840,,207771,,194367,,13404,
AK,Alaska,2018-05-01,Y,P,N,3549,"Includes Renewals and/or Redeterminations",,,3549,"Includes Renewals and/or Redeterminations",2312,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2312,"Includes Renewals and/or Redeterminations",93834,,207765,,194362,,13403,
AK,Alaska,2018-06-01,Y,U,Y,3239,"Includes Renewals and/or Redeterminations",,,3239,"Includes Renewals and/or Redeterminations",2245,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2245,"Includes Renewals and/or Redeterminations",95006,,211054,,197325,,13729,
AK,Alaska,2018-06-01,Y,P,N,3239,"Includes Renewals and/or Redeterminations",,,3239,"Includes Renewals and/or Redeterminations",2245,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2245,"Includes Renewals and/or Redeterminations",93416,,206727,,193286,,13441,
AK,Alaska,2018-07-01,Y,U,Y,2911,"Includes Renewals and/or Redeterminations",,,2911,"Includes Renewals and/or Redeterminations",2232,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2232,"Includes Renewals and/or Redeterminations",95035,,211609,,197806,,13803,
AK,Alaska,2018-07-01,Y,P,N,2911,"Includes Renewals and/or Redeterminations",,,2911,"Includes Renewals and/or Redeterminations",2232,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2232,"Includes Renewals and/or Redeterminations",94270,,209491,,195832,,13659,
AK,Alaska,2018-08-01,Y,U,Y,3216,"Includes Renewals and/or Redeterminations",,,3216,"Includes Renewals and/or Redeterminations",2409,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2409,"Includes Renewals and/or Redeterminations",95080,,211945,,197981,,13964,
AK,Alaska,2018-08-01,Y,P,N,3216,"Includes Renewals and/or Redeterminations",,,3216,"Includes Renewals and/or Redeterminations",2409,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2409,"Includes Renewals and/or Redeterminations",94422,,210217,,196460,,13757,
AK,Alaska,2018-09-01,Y,U,Y,2806,"Includes Renewals and/or Redeterminations",,,2806,"Includes Renewals and/or Redeterminations",2126,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2126,"Includes Renewals and/or Redeterminations",94323,,210368,,196445,,13923,
AK,Alaska,2018-09-01,Y,P,N,2806,"Includes Renewals and/or Redeterminations",,,2806,"Includes Renewals and/or Redeterminations",2126,"Includes Renewals and/or Redeterminations; Includes CHIP",,,2126,"Includes Renewals and/or Redeterminations",93908,,208867,,194952,,13915,
AK,Alaska,2018-10-01,Y,P,N,3797,"Includes Renewals and/or Redeterminations",,,3797,"Includes Renewals and/or Redeterminations",2883,"Includes Renewals and/or Redeterminations; Includes CHIP",143,,3026,"Includes Renewals and/or Redeterminations",94422,,210276,,195891,,14385,
AK,Alaska,2018-10-01,Y,U,Y,3797,"Includes Renewals and/or Redeterminations",,,3797,"Includes Renewals and/or Redeterminations",2883,"Includes Renewals and/or Redeterminations; Includes CHIP",143,,3026,"Includes Renewals and/or Redeterminations",94829,,211746,,197355,,14391,
AK,Alaska,2018-11-01,Y,P,N,3552,"Includes Renewals and/or Redeterminations",,,3552,"Includes Renewals and/or Redeterminations",3396,"Includes Renewals and/or Redeterminations; Includes CHIP",218,,3614,"Includes Renewals and/or Redeterminations",94539,,211386,,196699,,14687,
AK,Alaska,2018-11-01,Y,U,Y,3685,"Includes Renewals and/or Redeterminations",,,3685,"Includes Renewals and/or Redeterminations",3396,"Includes Renewals and/or Redeterminations; Includes CHIP",218,,3614,"Includes Renewals and/or Redeterminations",95187,,213702,,198867,,14835,
AK,Alaska,2018-12-01,Y,P,N,3012,"Includes Renewals and/or Redeterminations",,,3012,"Includes Renewals and/or Redeterminations",2798,"Includes Renewals and/or Redeterminations; Includes CHIP",130,,2928,"Includes Renewals and/or Redeterminations",95187,,213702,,198867,,14835,
AK,Alaska,2018-12-01,Y,U,Y,3205,"Includes Renewals and/or Redeterminations",,,3205,"Includes Renewals and/or Redeterminations",2798,"Includes Renewals and/or Redeterminations; Includes CHIP",130,,2928,"Includes Renewals and/or Redeterminations",94469,,211912,,197143,,14769,
AK,Alaska,2019-01-01,Y,P,N,3472,"Includes Renewals and/or Redeterminations",,,3472,"Includes Renewals and/or Redeterminations",3156,"Includes Renewals and/or Redeterminations; Includes CHIP",158,,3314,"Includes Renewals and/or Redeterminations",95259,,214541,,199656,,14885,
AK,Alaska,2019-01-01,Y,U,Y,3032,"Includes Renewals and/or Redeterminations",,,3032,"Includes Renewals and/or Redeterminations",3156,"Includes Renewals and/or Redeterminations; Includes CHIP",158,,3314,"Includes Renewals and/or Redeterminations",95796,,216175,,201038,,15137,
AK,Alaska,2019-02-01,Y,P,N,3724,"Includes Renewals and/or Redeterminations",,,3724,"Includes Renewals and/or Redeterminations",3084,"Includes Renewals and/or Redeterminations; Includes CHIP",173,,3257,"Includes Renewals and/or Redeterminations",94924,,213493,,198519,,14974,
AK,Alaska,2019-02-01,Y,U,Y,3865,"Includes Renewals and/or Redeterminations",,,3865,"Includes Renewals and/or Redeterminations",3084,"Includes Renewals and/or Redeterminations; Includes CHIP",173,,3257,"Includes Renewals and/or Redeterminations",96172,,217468,,202090,,15378,
AK,Alaska,2019-03-01,Y,P,N,3588,"Includes Renewals and/or Redeterminations",,,3588,"Includes Renewals and/or Redeterminations",3363,"Includes Renewals and/or Redeterminations; Includes CHIP",271,,3634,"Includes Renewals and/or Redeterminations",95745,,216168,,200790,,15378,
AK,Alaska,2019-03-01,Y,U,Y,3588,"Includes Renewals and/or Redeterminations",,,3588,"Includes Renewals and/or Redeterminations",3363,"Includes Renewals and/or Redeterminations; Includes CHIP",271,,3634,"Includes Renewals and/or Redeterminations",96256,,217793,,202397,,15396,
AK,Alaska,2019-04-01,Y,U,Y,3368,"Includes Renewals and/or Redeterminations",,,3368,"Includes Renewals and/or Redeterminations",3053,"Includes Renewals and/or Redeterminations; Includes CHIP",202,,3255,"Includes Renewals and/or Redeterminations",96593,,218972,,203524,,15448,
AK,Alaska,2019-04-01,Y,P,N,3368,"Includes Renewals and/or Redeterminations",,,3368,"Includes Renewals and/or Redeterminations",3053,"Includes Renewals and/or Redeterminations; Includes CHIP",202,,3255,"Includes Renewals and/or Redeterminations",96183,,217678,,202234,,15444,
AK,Alaska,2019-05-01,Y,P,N,3107,"Includes Renewals and/or Redeterminations",,,3107,"Includes Renewals and/or Redeterminations",2675,"Includes Renewals and/or Redeterminations; Includes CHIP",113,,2788,"Includes Renewals and/or Redeterminations",96506,,218680,,203115,,15565,
AK,Alaska,2019-05-01,Y,U,Y,3107,"Includes Renewals and/or Redeterminations",,,3107,"Includes Renewals and/or Redeterminations",2675,"Includes Renewals and/or Redeterminations; Includes CHIP",113,,2788,"Includes Renewals and/or Redeterminations",97003,,220384,,204803,,15581,
AK,Alaska,2019-06-01,Y,U,Y,3108,"Includes Renewals and/or Redeterminations",,,3108,"Includes Renewals and/or Redeterminations",2400,"Includes Renewals and/or Redeterminations; Includes CHIP",99,,2499,"Includes Renewals and/or Redeterminations",97672,,221746,,206033,,15713,
AK,Alaska,2019-06-01,Y,P,N,3108,"Includes Renewals and/or Redeterminations",,,3108,"Includes Renewals and/or Redeterminations",2400,"Includes Renewals and/or Redeterminations; Includes CHIP",99,,2499,"Includes Renewals and/or Redeterminations",96953,,220341,,204820,,15521,
AK,Alaska,2019-07-01,Y,U,Y,3147,"Includes Renewals and/or Redeterminations",,,3147,"Includes Renewals and/or Redeterminations",2693,"Includes Renewals and/or Redeterminations; Includes CHIP",157,,2850,"Includes Renewals and/or Redeterminations",97913,,223117,,207174,,15943,
AK,Alaska,2019-07-01,Y,P,N,3147,"Includes Renewals and/or Redeterminations",,,3147,"Includes Renewals and/or Redeterminations",2693,"Includes Renewals and/or Redeterminations; Includes CHIP",157,,2850,"Includes Renewals and/or Redeterminations",96772,,220043,,204317,,15726,
AK,Alaska,2019-08-01,Y,U,Y,3183,"Includes Renewals and/or Redeterminations",,,3183,"Includes Renewals and/or Redeterminations",2820,"Includes Renewals and/or Redeterminations; Includes CHIP",134,,2954,"Includes Renewals and/or Redeterminations",97472,,221946,,206020,,15926,
AK,Alaska,2019-08-01,Y,P,N,3183,"Includes Renewals and/or Redeterminations",,,3183,"Includes Renewals and/or Redeterminations",2820,"Includes Renewals and/or Redeterminations; Includes CHIP",134,,2954,"Includes Renewals and/or Redeterminations",97069,,220700,,204782,,15918,
