State,Month,"Percent of Determinations Processed
< 24 hours","Percent of Determinations Processed
1 - 7 Days","Percent of Determinations Processed
8 - 30 Days","Percent of Determinations Processed
31- 45 Days","Percent of Determinations Processed
45+ Days"
Kentucky,February*,0.32,0.10,0.15,0.07,0.37
Kentucky,March*,0.31,0.09,0.17,0.06,0.37
Kentucky,April*,0.31,0.09,0.18,0.07,0.36
Louisiana,February*,0.32,0.13,0.28,0.10,0.18
Louisiana,March*,0.31,0.15,0.39,0.07,0.09
Louisiana,April*,0.37,0.14,0.37,0.06,0.06
Maine,February*,0.059,0.032,0.099,0.07,0.739
Maine,March*,0.069,0.03,0.073,0.581,0.247
Maine,April*,0.077,0.036,0.076,0.046,0.766
Maryland,February*,0.974,0.022,0.003,0.002,0
Maryland,March*,0.971,0.024,0.003,0.002,0
Maryland,April*,0.972,0.022,0.003,0.002,0
Massachusetts,February*,0.739,0.069,0.053,0.031,0.107
Massachusetts,March*,0.687,0.069,0.06,0.039,0.145
Massachusetts,April*,0.749,0.123,0.041,0.009,0.078
Michigan,February*,0.309,0.231,0.24,0.11,0.11
Michigan,March*,0.355,0.275,0.256,0.083,0.032
Michigan,April*,0.384,0.268,0.262,0.074,0.013
Minnesota,February*,0.526,0.278,0.196,0,0
Minnesota,March*,0.512,0.275,0.213,0,0
Minnesota,April*,0.508,0.258,0.233,0,0
Mississippi,February*,0.018,0.209,0.47,0.217,0.086
Mississippi,March*,0.019,0.191,0.424,0.285,0.081
Mississippi,April*,0.019,0.2,0.495,0.228,0.059
Missouri,February(IV)*,0.004,0.126,0.244,0.079,0.547
Missouri,March(IV)*,0.004,0.164,0.186,0.088,0.558
Missouri,April(IV)*,0.006,0.184,0.25,0.067,0.493
Montana,February*,0.23,0.204,0.31,0.123,0.134
Montana,March*,0.282,0.263,0.315,0.08,0.06
Montana,April*,0.287,0.327,0.284,0.059,0.043
Nebraska,February*,0.257,0.178,0.466,0.055,0.044
Nebraska,March*,0.258,0.206,0.454,0.046,0.036
Nebraska,April*,0.244,0.177,0.459,0.076,0.044
Nevada,"February(I),(III)",0,0.604,0.33,0.054,0.011
Nevada,"March(I),(III)",0,0.653,0.325,0.015,0.006
Nevada,"April(I),(III)",0,0.608,0.363,0.022,0.007
New Hampshire,February*,0.134,0.439,0.392,0.02,0.015
New Hampshire,March*,0.138,0.45,0.376,0.021,0.015
New Hampshire,April*,0.122,0.446,0.39,0.02,0.022
New Jersey,February(II)*,0.004,0.259,0.259,0.15,0.329
New Jersey,March(II)*,0.002,0.133,0.419,0.126,0.32
New Jersey,April(II)*,0.002,0.225,0.594,0.109,0.07
New Mexico,February*,0.416,0.338,0.107,0.124,0.014
New Mexico,March*,0.521,0.176,0.161,0.12,0.022
New Mexico,April*,0.518,0.182,0.171,0.116,0.013
New York,February(VIII),0.888,0.026,0.079,0.003,0.004
New York,March*,0.988,0.001,0.005,0.003,0.004
New York,April*,0.99,0.001,0.003,0.002,0.004
North Carolina,February*,0,0.318,0.233,0.374,0.075
North Carolina,March*,0,0.339,0.214,0.401,0.046
North Carolina,April*,0,0.287,0.215,0.453,0.044
North Dakota,February(III)*,0.046,0.198,0.438,0.175,0.143
North Dakota,March(III)*,0.02,0.101,0.482,0.171,0.225
North Dakota,April(III)*,0.027,0.211,0.405,0.211,0.146
Ohio,February*,0.186,0.165,0.351,0.096,0.202
Ohio,March*,0.179,0.166,0.37,0.095,0.19
Ohio,April*,0.179,0.18,0.398,0.095,0.149
Oklahoma,February*,1,0,0,0,0
Oklahoma,March*,1,0,0,0,0
Oklahoma,April*,1,0,0,0,0
Oregon,February(III)*,0.405,0.132,0.138,0.1,0.224
Oregon,March(III)*,0.481,0.164,0.123,0.149,0.083
Oregon,April(III)*,0.529,0.166,0.153,0.1,0.052
Pennsylvania,February(VI)*,0.129,0.201,0.511,0.08,0.079
Pennsylvania,March(VI)*,0.154,0.228,0.519,0.069,0.03
Pennsylvania,April(VI)*,0.149,0.221,0.546,0.064,0.02
Rhode Island,February(VI)*,0.831,0.096,0.059,0.01,0.004
Rhode Island,March(VI)*,0.824,0.096,0.068,0.01,0.002
Rhode Island,April(VI)*,0.846,0.086,0.053,0.014,0.001
South Carolina,"February(I),(II),(III)",0,0.622,0.138,0.042,0.198
South Carolina,"March(I),(II),(III)",0,0.567,0.095,0.03,0.308
South Carolina,"April(II),(III)",0.478,0.236,0.148,0.044,0.094
South Dakota,"February(I),(III),(VI)",0,0.655,0.268,0.075,0.002
South Dakota,"March(I),(III),(VI)",0,0.631,0.307,0.059,0.003
South Dakota,"April(I),(III),(VI)",0,0.639,0.29,0.07,0.001
Tennessee,February (IX),,,,,
Tennessee,March (IX),,,,,
Tennessee,April (IX),,,,,
Texas,February*,0.191,0.271,0.407,0.084,0.047
Texas,March*,0.2,0.281,0.445,0.045,0.028
Texas,April*,0.222,0.246,0.441,0.065,0.025
Utah,February*,0.202,0.324,0.385,0.058,0.031
Utah,March*,0.54,0.207,0.21,0.028,0.015
Utah,April*,0.237,0.383,0.318,0.036,0.025
Vermont,February,,,,,
Vermont,March*,0.456,0.059,0.208,0.106,0.171
Vermont,April*,0.393,0.067,0.178,0.099,0.263
Virginia,February*,0.076,0.107,0.18,0.139,0.498
Virginia,March*,0.064,0.114,0.15,0.153,0.519
Virginia,April*,0.073,0.138,0.15,0.203,0.437
Washington,February*,0.866,0.042,0.066,0.009,0.016
Washington,March*,0.866,0.045,0.066,0.01,0.013
Washington,April*,0.857,0.044,0.071,0.013,0.014
West Virginia,February*,0.253,0.303,0.36,0.051,0.033
West Virginia,March*,0.257,0.304,0.357,0.049,0.033
West Virginia,April*,0.271,0.352,0.302,0.046,0.029
Wisconsin,February(III)*,0.394,0.157,0.337,0.105,0.008
Wisconsin,March(III)*,0.411,0.161,0.341,0.082,0.004
Wisconsin,April(III)*,0.416,0.156,0.324,0.099,0.005
Wyoming,February*,0.295,0.127,0.297,0.08,0.201
Wyoming,March*,0.315,0.169,0.358,0.02,0.137
Wyoming,April*,0.258,0.13,0.457,0.059,0.095
National Total,February,0.318,0.162,0.263,0.078,0.179
National Total,March,0.474,0.129,0.209,0.063,0.125
