Kentucky,March*,30.7%,9.0%,17.3%,5.9%,37.0%
"",April*,30.6%,9.0%,17.8%,6.6%,36.0%
"",February*,31.5%,12.9%,28.2%,9.9%,17.5%
Louisiana,March*,30.8%,14.6%,39.1%,7.0%,8.6%
"",April*,37.3%,14.4%,36.5%,5.7%,6.0%
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February*,5.9%,3.2%,9.9%,7.0%,73.9%
Maine,March*,6.9%,3.0%,7.3%,58.1%,24.7%
"",April*,7.7%,3.6%,7.6%,4.6%,76.6%
"",February*,97.4%,2.2%,0.3%,0.2%,0.0%
Maryland,March*,97.1%,2.4%,0.3%,0.2%,0.0%
"",April*,97.2%,2.2%,0.3%,0.2%,0.0%
"",February*,73.9%,6.9%,5.3%,3.1%,10.7%
Massachusetts,March*,68.7%,6.9%,6.0%,3.9%,14.5%
"",April*,74.9%,12.3%,4.1%,0.9%,7.8%
"",February*,30.9%,23.1%,24.0%,11.0%,11.0%
Michigan,March*,35.5%,27.5%,25.6%,8.3%,3.2%
"",April*,38.4%,26.8%,26.2%,7.4%,1.3%
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February*,52.6%,27.8%,19.6%,0.0%,0.0%
Minnesota,March*,51.2%,27.5%,21.3%,0.0%,0.0%
"",April*,50.8%,25.8%,23.3%,0.0%,0.0%
"",February*,1.8%,20.9%,47.0%,21.7%,8.6%
Mississippi,March*,1.9%,19.1%,42.4%,28.5%,8.1%
"",April*,1.9%,20.0%,49.5%,22.8%,5.9%
"",February(IV)*,0.4%,12.6%,24.4%,7.9%,54.7%
Missouri,March(IV)*,0.4%,16.4%,18.6%,8.8%,55.8%
"",April(IV)*,0.6%,18.4%,25.0%,6.7%,49.3%
"",February*,23.0%,20.4%,31.0%,12.3%,13.4%
Montana,March*,28.2%,26.3%,31.5%,8.0%,6.0%
"",April*,28.7%,32.7%,28.4%,5.9%,4.3%
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February*,25.7%,17.8%,46.6%,5.5%,4.4%
Nebraska,March*,25.8%,20.6%,45.4%,4.6%,3.6%
"",April*,24.4%,17.7%,45.9%,7.6%,4.4%
"","February(I),(III)",0.0%,60.4%,33.0%,5.4%,1.1%
Nevada,"March(I),(III)",0.0%,65.3%,32.5%,1.5%,0.6%
"","April(I),(III)",0.0%,60.8%,36.3%,2.2%,0.7%
"",February*,13.4%,43.9%,39.2%,2.0%,1.5%
New Hampshire,March*,13.8%,45.0%,37.6%,2.1%,1.5%
"",April*,12.2%,44.6%,39.0%,2.0%,2.2%
"",February(II)*,0.4%,25.9%,25.9%,15.0%,32.9%
New Jersey,March(II)*,0.2%,13.3%,41.9%,12.6%,32.0%
"",April(II)*,0.2%,22.5%,59.4%,10.9%,7.0%
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February*,41.6%,33.8%,10.7%,12.4%,1.4%
New Mexico,March*,52.1%,17.6%,16.1%,12.0%,2.2%
"",April*,51.8%,18.2%,17.1%,11.6%,1.3%
"",February(VIII),88.8%,2.6%,7.9%,0.3%,0.4%
New York,March*,98.8%,0.1%,0.5%,0.3%,0.4%
"",April*,99.0%,0.1%,0.3%,0.2%,0.4%
"",February*,0.0%,31.8%,23.3%,37.4%,7.5%
North Carolina,March*,0.0%,33.9%,21.4%,40.1%,4.6%
"",April*,0.0%,28.7%,21.5%,45.3%,4.4%
"",February(III)*,4.6%,19.8%,43.8%,17.5%,14.3%
North Dakota,March(III)*,2.0%,10.1%,48.2%,17.1%,22.5%
"",April(III)*,2.7%,21.1%,40.5%,21.1%,14.6%
"",,,Percent of,Percent of,Percent of,Percent of,Percent of
"",,,Determinations,Determinations,Determinations,Determinations,Determinations
"",State,Month,Processed,Processed,Processed,Processed,Processed
"",,,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,,
"",,February*,18.6%,16.5%,35.1%,9.6%,20.2%
Ohio,,March*,17.9%,16.6%,37.0%,9.5%,19.0%
"",,April*,17.9%,18.0%,39.8%,9.5%,14.9%
"",,February*,100.0%,0.0%,0.0%,0.0%,0.0%
Oklahoma,,March*,100.0%,0.0%,0.0%,0.0%,0.0%
"",,April*,100.0%,0.0%,0.0%,0.0%,0.0%
"",,February(III)*,40.5%,13.2%,13.8%,10.0%,22.4%
Oregon,,March(III)*,48.1%,16.4%,12.3%,14.9%,8.3%
"",,April(III)*,52.9%,16.6%,15.3%,10.0%,5.2%
"",,February(VI)*,12.9%,20.1%,51.1%,8.0%,7.9%
Pennsylvania,,March(VI)*,15.4%,22.8%,51.9%,6.9%,3.0%
"",,April(VI)*,14.9%,22.1%,54.6%,6.4%,2.0%
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February(VI)*,83.1%,9.6%,5.9%,1.0%,0.4%
Rhode Island,March(VI)*,82.4%,9.6%,6.8%,1.0%,0.2%
"",April(VI)*,84.6%,8.6%,5.3%,1.4%,0.1%
"","February(I),(II),(III)",0.0%,62.2%,13.8%,4.2%,19.8%
South Carolina,"March(I),(II),(III)",0.0%,56.7%,9.5%,3.0%,30.8%
"","April(II),(III)",47.8%,23.6%,14.8%,4.4%,9.4%
"","February(I),(III),(VI)",0.0%,65.5%,26.8%,7.5%,0.2%
South Dakota,"March(I),(III),(VI)",0.0%,63.1%,30.7%,5.9%,0.3%
"","April(I),(III),(VI)",0.0%,63.9%,29.0%,7.0%,0.1%
"",February (IX),-,-,-,-,-
Tennessee,March (IX),-,-,-,-,-
"",April (IX),-,-,-,-,-
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February*,19.1%,27.1%,40.7%,8.4%,4.7%
Texas,March*,20.0%,28.1%,44.5%,4.5%,2.8%
"",April*,22.2%,24.6%,44.1%,6.5%,2.5%
"",February*,20.2%,32.4%,38.5%,5.8%,3.1%
Utah,March*,54.0%,20.7%,21.0%,2.8%,1.5%
"",April*,23.7%,38.3%,31.8%,3.6%,2.5%
"",February,-,-,-,-,-
Vermont,March*,45.6%,5.9%,20.8%,10.6%,17.1%
"",April*,39.3%,6.7%,17.8%,9.9%,26.3%
"",February*,7.6%,10.7%,18.0%,13.9%,49.8%
Virginia,March*,6.4%,11.4%,15.0%,15.3%,51.9%
"",April*,7.3%,13.8%,15.0%,20.3%,43.7%
"",,Percent of,Percent of,Percent of,Percent of,Percent of
"",,Determinations,Determinations,Determinations,Determinations,Determinations
State,Month,Processed,Processed,Processed,Processed,Processed
"",,< 24 hours,1 - 7 Days,8 - 30 Days,31- 45 Days,45+ Days
"",,,,,,
"",February*,86.6%,4.2%,6.6%,0.9%,1.6%
Washington,March*,86.6%,4.5%,6.6%,1.0%,1.3%
"",April*,85.7%,4.4%,7.1%,1.3%,1.4%
"",February*,25.3%,30.3%,36.0%,5.1%,3.3%
West,March*,25.7%,30.4%,35.7%,4.9%,3.3%
Virginia,,,,,,
"",April*,27.1%,35.2%,30.2%,4.6%,2.9%
"",February(III)*,39.4%,15.7%,33.7%,10.5%,0.8%
Wisconsin,March(III)*,41.1%,16.1%,34.1%,8.2%,0.4%
"",April(III)*,41.6%,15.6%,32.4%,9.9%,0.5%
"",February*,29.5%,12.7%,29.7%,8.0%,20.1%
Wyoming,March*,31.5%,16.9%,35.8%,2.0%,13.7%
"",April*,25.8%,13.0%,45.7%,5.9%,9.5%
"",February,31.8%,16.2%,26.3%,7.8%,17.9%
National,,,,,,
Total,March,47.4%,12.9%,20.9%,6.3%,12.5%
State,Month,"Percent ofDeterminationsProcessed< 24 hours","Percent ofDeterminationsProcessed1 - 7 Days","Percent ofDeterminationsProcessed8 - 30 Days","Percent ofDeterminationsProcessed31- 45 Days","Percent ofDeterminationsProcessed45+ Days",,,,,,,,,,,,
"",,April,,,47.1,,,13.3,,,22.2,,,6.2,,,11.2,
